item,itemLabel,startDate,endDate
,Romero Jucá,1988-09-15,1990-12-31
,Rubens Vilar,1990-12-31,1991-03-14
,Ottomar Pinto,1991-03-15,1994-12-31
,Neudo Campos,1995-01-01,2002-04-06
,Flamarion Portela,2002-04-06,2004-11-10
,Ottomar Pinto,2004-11-10,2007-12-11
,José Anchieta Júnior,2007-12-11,2014-04-04
,Chico Rodrigues,2014-04-04,2014-12-31
,Suely Campos,2015-01-01,2018-12-31
,Antônio Denarium,2019-01-01,
